,Relevant,MouseMs,LogId,Classes,RssId,Readability,Novelty,PageMs,UserId,Authority,UserLike,UserLikeBinary,ConditionalFreq,MeanConditionalFreq
8,5.0,1860,3361,['entertainment'],2,1.0,5.0,157922.0,51,1.0,5,1,0.04849279161205767,0.04849279161205767
18,5.0,6027,3398,"['news', 'movies', 'broadway', 'music']",8,1.0,5.0,139452.0,51,1.0,4,1,3.049996730025147e-08,0.013963821009203427
56,4.0,4369,6713,['broadway'],3616,1.0,5.0,96687.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
57,4.0,0,6714,"['movies', 'music']",8173,1.0,1.0,501.0,51,1.0,4,1,0.00021754892660251726,0.014915899714376388
63,4.0,4888,6720,['movies'],8,1.0,5.0,182391.0,51,1.0,5,1,0.01703800786369594,0.01703800786369594
67,4.0,250,6725,['television'],8,1.0,5.0,54844.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
68,3.0,187,6726,['broadway'],8,1.0,5.0,22890.0,51,0.0,4,1,0.018406854966677245,0.018406854966677245
69,5.0,9848,6728,['news'],8,1.0,5.0,343782.0,51,1.0,5,1,0.005242463958060288,0.005242463958060288
70,5.0,10979,6729,['television'],8,1.0,5.0,89906.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
71,4.0,563,6731,['television'],8,1.0,5.0,1891.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
72,5.0,20422,6732,['news'],8,1.0,5.0,49625.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
74,2.0,1641,6736,['television'],8,1.0,5.0,16687.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
76,4.0,3126,6740,['movies'],8,1.0,5.0,99283.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
77,3.0,5076,6741,['television'],8,1.0,5.0,29969.0,51,1.0,3,0,0.005031446540880503,0.005031446540880503
79,4.0,2373,6743,['broadway'],8,1.0,5.0,19094.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
83,4.0,702,7672,['broadway'],8195,1.0,5.0,31735.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
84,4.0,5090,7673,['broadway'],3616,1.0,5.0,188719.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
85,4.0,3313,7674,['broadway'],8173,1.0,5.0,77609.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
86,4.0,1918,7676,['news'],15,1.0,5.0,64077.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
87,4.0,655,7677,['broadway'],2,1.0,5.0,1860.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
88,4.0,580,7679,['broadway'],8156,1.0,5.0,110625.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
90,5.0,4298,7682,['broadway'],8173,1.0,5.0,95890.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
92,5.0,3439,7684,['television'],8173,1.0,5.0,48422.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
93,5.0,4718,7802,['movies'],8,1.0,5.0,69547.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
94,4.0,124,7804,['music'],8,1.0,5.0,640.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
95,5.0,5888,7805,['broadway'],8,1.0,5.0,55719.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
