,Relevant,MouseMs,LogId,Classes,RssId,Readability,Novelty,PageMs,UserId,Authority,UserLike,UserLikeBinary
8,5.0,1860,3361,['entertainment'],2,1.0,5.0,157922.0,51,1.0,5,1
18,5.0,6027,3398,"['news', 'movies', 'broadway', 'music']",8,1.0,5.0,139452.0,51,1.0,4,1
56,4.0,4369,6713,['broadway'],3616,1.0,5.0,96687.0,51,1.0,4,1
57,4.0,0,6714,"['movies', 'music']",8173,1.0,1.0,501.0,51,1.0,4,1
63,4.0,4888,6720,['movies'],8,1.0,5.0,182391.0,51,1.0,5,1
67,4.0,250,6725,['television'],8,1.0,5.0,54844.0,51,1.0,4,1
68,3.0,187,6726,['broadway'],8,1.0,5.0,22890.0,51,0.0,4,1
69,5.0,9848,6728,['news'],8,1.0,5.0,343782.0,51,1.0,5,1
70,5.0,10979,6729,['television'],8,1.0,5.0,89906.0,51,1.0,4,1
71,4.0,563,6731,['television'],8,1.0,5.0,1891.0,51,1.0,4,1
72,5.0,20422,6732,['news'],8,1.0,5.0,49625.0,51,1.0,4,1
74,2.0,1641,6736,['television'],8,1.0,5.0,16687.0,51,1.0,4,1
76,4.0,3126,6740,['movies'],8,1.0,5.0,99283.0,51,1.0,4,1
77,3.0,5076,6741,['television'],8,1.0,5.0,29969.0,51,1.0,3,0
79,4.0,2373,6743,['broadway'],8,1.0,5.0,19094.0,51,1.0,4,1
83,4.0,702,7672,['broadway'],8195,1.0,5.0,31735.0,51,1.0,4,1
84,4.0,5090,7673,['broadway'],3616,1.0,5.0,188719.0,51,1.0,4,1
85,4.0,3313,7674,['broadway'],8173,1.0,5.0,77609.0,51,1.0,4,1
86,4.0,1918,7676,['news'],15,1.0,5.0,64077.0,51,1.0,4,1
87,4.0,655,7677,['broadway'],2,1.0,5.0,1860.0,51,1.0,4,1
88,4.0,580,7679,['broadway'],8156,1.0,5.0,110625.0,51,1.0,4,1
90,5.0,4298,7682,['broadway'],8173,1.0,5.0,95890.0,51,1.0,4,1
92,5.0,3439,7684,['television'],8173,1.0,5.0,48422.0,51,1.0,4,1
93,5.0,4718,7802,['movies'],8,1.0,5.0,69547.0,51,1.0,4,1
94,4.0,124,7804,['music'],8,1.0,5.0,640.0,51,1.0,4,1
95,5.0,5888,7805,['broadway'],8,1.0,5.0,55719.0,51,1.0,4,1
97,4.0,12509,7822,['broadway'],8,1.0,5.0,174250.0,51,1.0,4,1
98,5.0,6498,7830,['television'],8,1.0,5.0,69375.0,51,1.0,4,1
99,4.0,7594,7832,['broadway'],8,1.0,5.0,82031.0,51,1.0,4,1
101,4.0,1923,7844,['broadway'],8195,1.0,5.0,88702.0,51,1.0,4,1
102,5.0,110,7845,['broadway'],8,1.0,5.0,688.0,51,1.0,4,1
119,4.0,3213,7944,['news'],8181,1.0,5.0,27282.0,51,1.0,4,1
122,4.0,1032,7956,['broadway'],8153,1.0,5.0,35485.0,51,1.0,4,1
125,4.0,1311,8282,['movies'],8195,1.0,5.0,48327.0,51,1.0,4,1
126,2.0,7077,8283,['movies'],2090,1.0,5.0,28515.0,51,0.0,1,0
127,1.0,5531,8284,['movies'],1030,1.0,5.0,26063.0,51,0.0,4,1
